name,source,AC,HP,init
Aarakocra,MM'14,12,3d8,+2
Aarakocra Aeromancer,MM'25,16,12d8+12,+3
Aarakocra Simulacrum,SKT,12,3d4,+2
Aarakocra Skirmisher,MM'25,12,2d8+2,+2
Aarakocra Spelljammer,LoX,12,9d8,+2
Aartuk Elder,BAM,16,10d10+20,0
Aartuk Starhorror,BAM,14,8d8+16,0
Aartuk Weedling,BAM,15,7d8+7,+1
Aberrant Cultist,MM'25,14,25d8+25,+4
Aberrant Death's Head,RHW,16,7d4+7,+1
Aberrant Spirit,PHB'24,11,(manual),0
Aberrant Spirit,TCE,11,(manual),0
Aberrant Zealot,PaBTSO,16,17d8+17,+4
Aberrant Zealot (Tentacled),PaBTSO,16,17d8+17,+4
Abhorrent Overlord,MOT,16,16d10+48,+4
Abjurer,VGM,12,13d8+26,+2
Abjurer Wizard,MPMM,12,16d8+32,+2
Aboleth,MM'14,17,18d10+36,-1
Aboleth,MM'25,17,20d10+40,-1
Aboleth Spawn,CRCotN,14,11d8+44,0
Abominable Yeti,MM'25,15,11d12+66,0
Abominable Yeti,MM'14,15,11d12+66,0
Abyssal Chicken,BGDIA,13,3d4+3,+2
Abyssal Wretch,MTF,11,4d8,+1
Achaierai,MaBJoV,15,12d10+24,+2
Acidic Mist Apparition,GotSF,15,12d10+24,+5
Acolyte,MM'14,10,2d8,0
Adult Amethyst Dragon,FTD,19,17d12+119,+2
Adult Amonkhet Dragon,PSA,19,19d12+133,0
Adult Black Dragon,MM'25,19,17d12+85,+2
Adult Black Dragon,MM'14,19,17d12+85,+2
Adult Blue Dracolich,MM'14,19,18d12+108,0
Adult Blue Dragon,MM'25,19,17d12+102,0
Adult Blue Dragon,MM'14,19,18d12+108,0
Adult Brass Dragon,MM'25,18,15d12+75,0
Adult Brass Dragon,MM'14,17,15d12+75,0
Adult Bronze Dragon,MM'25,18,17d12+102,0
Adult Bronze Dragon,MM'14,19,17d12+102,0
Adult Copper Dragon,MM'25,18,16d12+80,+1
Adult Copper Dragon,MM'14,17,16d12+80,+1
Adult Crystal Dragon,FTD,16,15d12+75,+1
Adult Deep Dragon,FTD,17,14d12+56,+2
Adult Deep Dragon,FRAiF,17,17d12+51,+2
Adult Emerald Dragon,FTD,17,18d12+90,+1
Adult Gold Dragon,MM'25,19,18d12+126,+2
Adult Gold Dragon,MM'14,19,19d12+133,+2
Adult Green Dragon,MM'25,19,18d12+90,+1
Adult Green Dragon,MM'14,19,18d12+90,+1
Adult Kruthik,MPMM,17,6d8+12,+3
Adult Kruthik,MTF,17,6d8+12,+3
Adult Lunar Dragon,BAM,17,15d12+75,+1
Adult Moonstone Dragon,FTD,19,17d12+85,+4
Adult Oblex,MPMM,14,10d8+30,+4
Adult Oblex,MTF,14,10d8+30,+4
Adult Red Dracolich,TCE,19,19d12+133,0
Adult Red Dragon,MM'25,19,19d12+133,0
Adult Red Dragon,MM'14,19,19d12+133,0
Adult Sapphire Dragon,SADS,19,18d12+60,+3
Adult Sapphire Dragon,FTD,17,18d12+108,+2
Adult Silver Dragon,MM'25,19,16d12+112,0
Adult Silver Dragon,MM'14,19,18d12+126,0
Adult Solar Dragon,BAM,17,16d12+96,+2
Adult Spirit Dragon,FRAiF,18,18d12+90,+2
Adult Time Dragon,MPP,19,20d12+120,+2
Adult Topaz Dragon,FTD,17,20d12+80,+1
Adult White Dragon,MM'25,18,16d12+96,0
Adult White Dragon,MM'14,17,16d12+96,0
Advanced Detention Drone,BMT,17,15d10+60,-1
Aegisaur,PSX,15,8d12+16,0
Aeorian Absorber,EGW,15,18d10+72,+4
Aeorian Nullifier,EGW,17,19d10+76,+2
